Name;Location;Diameter;Age;Latitude;Longitude;URL
Beyenchime-Salaatin;Russia (Siberia);8;40 ± 20 million;71.0000;121.6667;https://en.wikipedia.org/wiki/Beyenchime-Salaatin_crater
Bigach;Kazakhstan;8;5 ± 3 million;48.5667;82.0167;https://en.wikipedia.org/wiki/Bigach_crater
Chiyli;Kazakhstan;5.5;46 ± 7 million;49.1667;57.8500;https://en.wikipedia.org/wiki/Chiyli_crater
Chukcha;Russia (Siberia);6;< 70 million;75.7000;97.8000;https://en.wikipedia.org/wiki/Chukcha_crater
Dhala;India;11;1700-2100 million;25.3000;78.1333;https://en.wikipedia.org/wiki/Dhala_crater
El'gygytgyn;Russia (Siberia);18;3.5 ± 0.5 million;67.5000;172.0833;https://en.wikipedia.org/wiki/El%27gygytgyn
Gusev;Russia (Southern);3;49.0 ± 0.2 million;48.4333;40.5333;https://en.wikipedia.org/wiki/Gusev_(Russian_crater)
Jabal Waqf es Swwan;Jordan;5.5;37-56 million;31.0500;36.8000;https://en.wikipedia.org/wiki/Jabal_Waqf_es_Swwan_crater
Jänisjärvi;Russia (Northwestern);14;700 ± 5 million;61.9667;30.9167;https://en.wikipedia.org/wiki/J%C3%A4nisj%C3%A4rvi_crater
Kaluga;Russia (Central);15;380 ± 5 million;54.5000;36.2000;https://en.wikipedia.org/wiki/Kaluga_crater
Kamensk;Russia (Southern);25;49.0 ± 0.2 million;48.3500;40.5000;https://en.wikipedia.org/wiki/Kamensk_crater
Kara;Russia (Northwestern);65;70.3 ± 2.2 million;69.1000;64.1500;https://en.wikipedia.org/wiki/Kara_crater
Karakul;Tajikistan;52;< 5 million;39.0167;73.4500;https://en.wikipedia.org/wiki/Karakul_(Tajikistan)
Karla;Russia (Volga);10;5 ± 1 million;54.9167;48.0333;https://en.wikipedia.org/wiki/Karla_(Russia)
Kursk;Russia (Central);6;250 ± 80 million;51.7000;36.0000;https://en.wikipedia.org/wiki/Kursk_crater
Logancha;Russia (Siberia);20;40 ± 20 million;65.5167;95.9333;https://en.wikipedia.org/wiki/Logancha_crater
Lonar;India;1.83;52,000 ± 6,000;19.9667;76.5167;https://en.wikipedia.org/wiki/Lonar_crater
Macha;Russia (Siberia);0.3;< 7000;60.1000;117.5833;https://en.wikipedia.org/wiki/Macha_crater
Mishina Gora;Russia (Northwestern);2.5;300 ± 50 million;58.7167;28.0500;https://en.wikipedia.org/wiki/Mishina_Gora_crater
Popigai;Russia (Siberia);100;35.7 ± 0.2 million;71.6500;111.1833;https://en.wikipedia.org/wiki/Popigai_impact_structure
Puchezh-Katunki;Russia (Volga);80;167 ± 3 million;56.9667;43.7167;https://en.wikipedia.org/wiki/Puchezh-Katunki_crater
Ragozinka;Russia (Urals);9;46 ± 3 million;58.7333;61.8000;https://en.wikipedia.org/wiki/Ragozinka_crater
Saqqar;Saudi Arabia;34;70-410 Ma;29.5833;38.7000;
Shunak;Kazakhstan;2.8;45 ± 10 million;47.2167;72.7667;https://en.wikipedia.org/wiki/Shunak
Sikhote-Alin;Russia (Siberia);0.026;76;46.1167;134.6667;https://en.wikipedia.org/wiki/Sikhote-Alin_Meteorite
Sobolev;Russia (Siberia);0.053;< 1000;46.3000;137.8667;https://en.wikipedia.org/wiki/Sobolev_crater
